Sr No	Tenant Name	Premises	Effective Date	Monthly Rent	Outstanding previous Months	Paid of current Month	Balance	Deposit Account No	Iesco No
1	Zafar Mahmood	1M	01-Jul-23	97437	170183	0	267620	172	6855087
2	Zahoor ul Hassan	3M	20-Sep-23	53944	71154	50000	75098	172	4298250
3	Nadeem Qaiser	4M	01-Jul-22	50820	24080	0	74900	521	4534401
4	Muhammad Shahid	5M	15-Oct-23	45600	15200	0	60800	850	3892101
5	Ahmed Ali Khan	2M	10-Aug-23	65000	32500	32500	65000	920	5429201
6	Fatima Textile	6M	01-Jan-23	55000	44000	55000	44000	1100	2891101
7	Hassan Brothers	7M	15-Nov-23	72000	36000	0	108000	1200	7123401
8	Sara's Boutique	8M	20-Dec-23	48000	24000	24000	48000	1300	3214501
9	Khan Electronics	9M	05-Feb-23	85000	102000	85000	102000	1400	6734201
10	Elegant Home	10M	12-Mar-23	62000	31000	31000	62000	1500	4156301
11	Star Enterprises	11M	25-Apr-23	58000	29000	0	87000	1600	5892101
12	Prime Solutions	12M	30-May-23	71000	71000	71000	71000	1700	7234501
13	Global Trade	1A	08-Jun-23	49000	24500	24500	49000	1800	3145601
14	Metro Stores	3A	14-Jul-23	64000	64000	32000	96000	1900	6529301
15	Unity Plaza	4A	21-Aug-23	55000	27500	0	82500	2000	4892101
16	Royal Exchange	5A	09-Sep-23	73000	36500	36500	73000	2100	7156201
17	Crescent Industries	6A	17-Oct-23	68000	34000	34000	68000	2200	5478301
18	Blue Diamond	7A	26-Nov-23	51000	25500	25500	51000	2300	4129501
19	Phoenix Mall	8A	03-Dec-23	76000	76000	38000	114000	2400	7862101
20	Horizon Business	9A	11-Jan-24	59000	29500	0	88500	2500	5634201
21	Summit Group	10A	19-Feb-24	67000	33500	33500	67000	2600	6345801
22	Victory Traders	11A	27-Mar-24	54000	54000	27000	81000	2700	4156301
23	Express Logistics	12A	04-Apr-24	72000	36000	36000	72000	2800	7123401
24	Golden Gate	1B	12-May-24	61000	30500	30500	61000	2900	5892101
25	Bright Future	3B	20-Jun-24	58000	29000	0	87000	3000	3214501
26	Infinity Mall	4B	28-Jul-24	75000	37500	37500	75000	3100	7234501
27	Alpha Center	5B	05-Aug-24	63000	31500	31500	63000	3200	6529301
28	Beta Hub	6B	13-Sep-24	69000	34500	0	103500	3300	5478301
29	Gamma Complex	7B	21-Oct-24	52000	26000	26000	52000	3400	4129501
30	Delta Plaza	8B	29-Nov-24	74000	74000	37000	111000	3500	7862101
31	Epsilon Tower	9B	07-Dec-24	60000	30000	30000	60000	3600	5634201
32	Zeta Point	10B	15-Jan-25	66000	33000	33000	66000	3700	6345801
33	Theta Market	11B	23-Feb-25	55000	55000	27500	82500	3800	4156301
34	Iota Station	12B	03-Mar-25	71000	35500	35500	71000	3900	7123401
35	Kappa Plaza	1C	11-Apr-25	62000	31000	0	93000	4000	5892101
36	Lambda Mall	3C	19-May-25	59000	29500	29500	59000	4100	3214501
37	Mu Complex	4C	27-Jun-25	77000	38500	38500	77000	4200	7234501
38	Nu Centre	5C	05-Jul-25	64000	32000	32000	64000	4300	6529301
39	Xi Building	6C	13-Aug-25	70000	35000	0	105000	4400	5478301
